1,2006-01-15 00:00:00,2006-01-15 00:00:00,Check,2006-01-22 00:00:00,200,0,53,893,95,2,2
2,2006-01-20 00:00:00,2006-01-20 00:00:00,Credit Card,2006-01-22 00:00:00,5,0,43,883,91,2,1
3,2006-01-22 00:00:00,2006-01-22 00:00:00,Credit Card,2006-01-22 00:00:00,5,0,81,875,95,2,2
4,2006-01-30 00:00:00,2006-01-30 00:00:00,Credit Card,2006-01-31 00:00:00,50,0,85,892,96,2,3
5,2006-02-06 00:00:00,2006-02-06 00:00:00,Check,2006-02-07 00:00:00,4,0,61,892,97,1,3
6,2006-02-10 00:00:00,2006-02-10 00:00:00,Check,2006-02-12 00:00:00,7,0,70,875,98,3,2
7,2006-02-23 00:00:00,2006-02-23 00:00:00,Cash,2006-02-25 00:00:00,7,0,62,892,97,1,2
8,2006-03-06 00:00:00,2006-03-06 00:00:00,Credit Card,2006-03-09 00:00:00,12,0,58,894,97,2,2
9,2006-03-10 00:00:00,2006-03-10 00:00:00,Check,2006-03-11 00:00:00,10,0,86,887,94,3,3
10,2006-03-22 00:00:00,2006-03-22 00:00:00,Check,2006-03-24 00:00:00,5,0,71,885,92,3,3
11,2006-03-24 00:00:00,2006-03-24 00:00:00,Credit Card,2006-03-24 00:00:00,9,0,76,876,94,2,2
12,2006-03-24 00:00:00,,,,0,0,78,894,91,3,
13,2006-03-24 00:00:00,,,2006-04-07 00:00:00,0,0,59,873,91,3,1
14,2006-03-24 00:00:00,,,,0,0,73,871,95,3,3
15,2006-03-24 00:00:00,,,,0,0,82,883,97,3,
16,2006-04-07 00:00:00,2006-04-07 00:00:00,Credit Card,2006-04-07 00:00:00,40,0,52,890,95,1,3
17,2006-04-05 00:00:00,2006-04-05 00:00:00,Check,2006-04-05 00:00:00,100,0,78,896,95,2,1
18,2006-04-08 00:00:00,2006-04-08 00:00:00,Credit Card,2006-04-08 00:00:00,300,0,76,877,94,3,2
19,2006-04-05 00:00:00,2006-04-05 00:00:00,Check,2006-04-05 00:00:00,50,0,85,877,95,3,2
20,2006-04-05 00:00:00,2006-04-05 00:00:00,Cash,2006-04-05 00:00:00,5,0,64,896,97,2,1
21,2006-04-05 00:00:00,2006-04-05 00:00:00,Credit Card,2006-04-05 00:00:00,60,0,86,893,95,2,3
22,2006-04-05 00:00:00,2006-04-05 00:00:00,Check,2006-04-05 00:00:00,200,0,76,879,95,3,2
23,2006-04-03 00:00:00,2006-04-03 00:00:00,Check,2006-04-03 00:00:00,0,0,62,875,98,1,3
24,2006-04-22 00:00:00,2006-04-22 00:00:00,Check,2006-04-22 00:00:00,200,0,81,888,93,1,2
25,2006-04-22 00:00:00,2006-04-22 00:00:00,Credit Card,2006-04-22 00:00:00,5,0,77,897,94,2,1
26,2006-04-22 00:00:00,2006-04-22 00:00:00,Credit Card,2006-04-22 00:00:00,5,0,69,892,93,2,2
27,2006-04-30 00:00:00,2006-04-30 00:00:00,Credit Card,2006-04-30 00:00:00,50,0,68,887,92,2,3
28,2006-04-07 00:00:00,2006-04-07 00:00:00,Check,2006-04-07 00:00:00,4,0,43,884,97,3,3
29,2006-04-12 00:00:00,2006-04-12 00:00:00,Check,2006-04-12 00:00:00,7,0,57,892,98,2,2
30,2006-04-25 00:00:00,2006-04-25 00:00:00,Cash,2006-04-25 00:00:00,7,0,76,896,97,3,2
31,2006-05-09 00:00:00,2006-05-09 00:00:00,Credit Card,2006-05-09 00:00:00,12,0,59,897,96,2,2
32,2006-05-11 00:00:00,2006-05-11 00:00:00,Check,2006-05-11 00:00:00,10,0,54,880,94,1,3
33,2006-05-24 00:00:00,2006-05-24 00:00:00,Check,2006-05-24 00:00:00,5,0,72,878,96,2,3
34,2006-05-24 00:00:00,2006-05-24 00:00:00,Credit Card,2006-05-24 00:00:00,9,0,49,895,92,3,2
35,2006-05-24 00:00:00,,,,0,0,68,897,91,3,
36,2006-05-24 00:00:00,,,,0,0,68,874,94,1,1
37,2006-05-24 00:00:00,,,,0,0,54,877,94,3,3
38,2006-05-24 00:00:00,,,,0,0,50,896,92,2,3
39,2006-06-07 00:00:00,2006-06-07 00:00:00,Credit Card,2006-06-07 00:00:00,40,0,46,880,98,2,3
40,2006-06-05 00:00:00,2006-06-05 00:00:00,Check,2006-06-05 00:00:00,100,0,74,884,92,1,1
41,2006-06-08 00:00:00,2006-06-08 00:00:00,Credit Card,2006-06-08 00:00:00,300,0,44,884,96,2,2
42,2006-06-05 00:00:00,2006-06-05 00:00:00,Check,2006-06-05 00:00:00,50,0,74,884,93,3,2
43,2006-06-05 00:00:00,2006-06-05 00:00:00,Cash,2006-06-05 00:00:00,5,0,55,883,97,2,1
44,2006-06-05 00:00:00,2006-06-05 00:00:00,Credit Card,2006-06-05 00:00:00,60,0,49,889,95,1,3
45,2006-06-05 00:00:00,2006-06-05 00:00:00,Check,2006-06-05 00:00:00,200,0,58,872,91,1,2
46,2006-06-23 00:00:00,2006-06-23 00:00:00,Check,2006-06-23 00:00:00,0,0,83,873,92,2,3
47,2006-04-25 17:03:55,,,,0,0,55,875,96,3,
48,2006-04-25 17:26:53,,,,0,0,77,880,93,2,
